access_code,state_code,access_flag,add_date,expire_date,status
AQ160,CA,0,20090519,20170514,A
AQ163,CA,0,20090519,20170514,A
AQ172,CA,0,20090519,20170514,A
AQ254,CA,0,20090519,20170514,A
AQ261,CA,0,20090519,20170514,A
AQ275,CA,0,20090519,20170514,A
AQ281,CA,0,20090519,20170514,A
AQ283,CA,0,20090519,20170514,A
AQ286,CA,0,20090519,20170514,A
AQ287,CA,0,20090519,20170514,A
AQ298,CA,0,20090519,20170514,A
AQ310,CA,0,20090519,20170514,A
AS002,CA,0,20090519,20170514,A
AS077,CA,0,20090519,20170514,A
AS089,CA,0,20090519,20170514,A
AS090,CA,0,20090519,20170514,A
AS093,CA,0,20090519,20170514,A
AS097,CA,0,20090519,20170514,A
AS104,CA,0,20090519,20170514,A
AS122,CA,0,20090519,20170514,A
AS132,CA,0,20090519,20170514,A
AS133,CA,0,20090519,20170514,A
AS148,CA,0,20090519,20170514,A
AS150,CA,0,20090519,20170514,A
AS160,CA,0,20090519,20170514,A
AS163,CA,0,20090519,20170514,A
AS164,CA,0,20090519,20170514,A
AS165,CA,0,20090519,20170514,A
AS166,CA,0,20090519,20170514,A
AS167,CA,0,20090519,20170514,A
AS168,CA,0,20090519,20170514,A
AS169,CA,0,20090519,20170514,A
AS172,CA,0,20090519,20170514,A
AS204,CA,0,20090519,20170514,A
AS205,CA,0,20090519,20170514,A
